REPORT ID,TITLE,YEAR,CREATOR,CONTRIBUTOR,REGION,REGION NEIGHBORHOODS,CALL NUMBER,TABLE OF CONTENTS,PATH
2601,"Center City, Philadelphia :",1960,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",NA 9127 P4 A521 1960,"pp. 1: select a section,pp. 1: Half-title,pp. 2: [],pp. 3: Full title,pp. 4: Committee List,pp. 5: City Planning Commission Letter,pp. 6: [],pp. 7: Contents,pp. 8: Map,pp. 9: Introduction,pp. 10: Center City Site Plan,pp. 11: Map: Site Plan,pp. 13: Drawings of Penn Center and City Hall,pp. 14: The Core,pp. 15: Map: Core,pp. 16: Expressways and Transit,pp. 17: Map: Expressways and Transit,pp. 18: Terminal Facilities,pp. 19: Map: Terminal Facilities,pp. 20: The Pedestrian,pp. 21: Map: Pedestrian,pp. 22: Open Space,pp. 23: Map: Open Space,pp. 25: Chestnut Street,pp. 25: View at Independence Mall,pp. 25: View at Broad Street,pp. 27: Map: South Broad Street Parking Teminal,pp. 29: Market East Cross-section,pp. 30: Drawing of Market East,pp. 31: Drawing of Proposed Bus Terminal,pp. 32: Drawing of Proposed Subway Station,pp. 35: [],pp. 36: []",
5987,Center City. Implementing the Plan in 1988,1988,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",HT 168 P43 P458 1988,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: Contents,pp. 4: Implementing the Plan,pp. 7: Advancing the Major Ideas,pp. 28: Improving Center City Today",
4371,Center City. Philadelphia Central District Study,1951,Alderson and Sessions,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",NA 9127 P4 A63 1951,"pp. 1: select a section,pp. 1: Title Page,pp. 3: Contents,pp. 4: Maps and Charts,pp. 5: Introduction,pp. 13: Chapter 1,pp. 28: Chapter 2,pp. 32: Chapter 3,pp. 43: Chapter 4,pp. 61: Chapter 5,pp. 69: Chapter 6,pp. 81: Appendix",
4381,Center City. Plan for Center City Philadelphia,1963,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",NA 9127 P49 A19 1963,"pp. 1: select a section,pp. 1: Cover Page,pp. 2: Title Page,pp. 3: The Commission,pp. 4: Letter of Transmittal,pp. 5: Contents,pp. 6: Penn's Plan - 1682,pp. 8: Introduction,pp. 9: Historical Perspective - Map 1776 & 1876,pp. 10: Maps - 1920 & 1962,pp. 11: Center City and the Region,pp. 13: Transportation - City Wide,pp. 15: Arrival Downtown,pp. 28: The Commercial Core,pp. 30: Functions and Services,pp. 32: Residential Areas and Parks,pp. 34: Intensity of Land Use,pp. 36: The Pattern of Land Use,pp. 38: The Image of Philadelphia,pp. 40: Market Street,pp. 42: Chestnut Street,pp. 44: Schuylkill River Park,pp. 45: Penn's Landing,pp. 46: The Site Plan",
5984,Central Riverfront District Plan,1982,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",HT 177 P5 P529,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 4: Contents,pp. 5: Photo: Aerial View,pp. 6: Introduction,pp. 8: Table 1: Riverfront Plan,pp. 10: Summary,pp. 12: Map: Recommendations,pp. 14: Map: Context,pp. 16: Existing Conditions,pp. 18: Map: Historical Development of the Waterfront,pp. 20: Table 2: Business Profile,pp. 22: Map: Existing Land Use,pp. 24: Table 3: Land Use,pp. 25: Table 4: River Frontage,pp. 26: Map: Circulation,pp. 30: Map: Transit,pp. 34: Development Potential,pp. 35: Map: Urban Setting,pp. 37: Map: Image,pp. 39: Map: Development Patterns,pp. 41: Map: Penn's Landing,pp. 42: Map: Development Opportunity,pp. 46: Map: Traffic Volume,pp. 50: Map: Environmental Factors,pp. 54: The Central Riverfront Plan,pp. 57: Map: Planning Concept,pp. 58: Map: Illustrative Site Plan,pp. 61: Table 5, 6: Development Costs, Development Phasing,pp. 62: Map: Development Phasing,pp. 66: Map: Recommended Land Use,pp. 70: Map: Recreation & Open Space,pp. 74: Map: Transportation,pp. 77: Map: Activitiy Centers,pp. 78: Map: Connecting Elements,pp. 80: Map: Urban Design Features",
4379,Chinatown. Report on Philadelphia's Chinatown Area,1975,"Gluck and Chadbourne Associates, Inc.",,Center City East,"Center City East,Olde City,Riverfront,Society Hill,Washington Square",HT 168 P43 R46 1975a,"pp. 1: select a section,pp. 1: Letter of Transmittal,pp. 2: [Title Page],pp. 3: Table of Contents,pp. 5: Prologue,pp. 13: 1. History and Physical Patterns,pp. 15: Map: Building Coverage and Land Ownership,pp. 16: Map: Physical Patterns 1975,pp. 19: Map: Chinese-Owned and Related Properties,pp. 21: Map: Existing Land Use,pp. 22: Map: Traffic Volume/Capacity Ratios,pp. 24: Map: Existing Zoning,pp. 27: Map: Percentage of Zoning Capacity Currently Built,pp. 29: 2. Loft Structures,pp. 31: Map: Existing Garment Trade Locations,pp. 36: 3. Predictive Models & the Base Zone,pp. 39: Map: Proposed Zoning,pp. 42: Map: Factors Influencing Permanence,pp. 44: Map: Potential Development Sites,pp. 45: 4. Transportation Issues Affecting Chinatown,pp. 74: Map: MSE Ramps: Current City Proposal,pp. 75: Map: MSE Ramps: Current City Proposal,pp. 77: Map: MSE Ramps: Minimal Modification,pp. 78: Map: MSE Ramps: Minimal Modification,pp. 80: Map: MSE Ramps: Single Ramp,pp. 81: Map: MSE Ramps: Single Ramp,pp. 82: Map: MSE Ramps: Single Ramp,pp. 84: Map: MSE Ramps: Modified 9th Street Ramp,pp. 85: Map: MSE Ramps: Modified 9th Street Ramp,pp. 88: 5. Housing,pp. 94: Map: Existing Dwellings,pp. 117: Map: A4 Residential Proposal,pp. 118: Map: A6 Residential Proposal,pp. 119: Map: A7 Residential Proposal,pp. 120: Map: A8 Residential Proposal,pp. 138: Map: Potential Rehabilitation Sites,pp. 146: Map: Second Stage Renewal/Incentive Zoning,pp. 149: 6. Institutions and Open Space,pp. 152: Map: Chinese Family Associations and Cultural Institutions,pp. 159: Map: Open Space and Linkage System,pp. 162: 7. The Commercial Core,pp. 165: Map: Ground-Floor Commercial Uses,pp. 172: Map: Special Zoning Controls,pp. 174: Map: Street and Sidewalk Improvements,pp. 178: Map: Public Transit,pp. 184: 8. Parking and Local Traffic,pp. 185: Map: Parking Lots and Garages,pp. 188: Map: Alternative Parking Structure Sites,pp. 193: Map: Proposed Street Modifications,pp. 196: 9. The Plan,pp. 197: Map: Potential Development Sites,pp. 199: Map: Illustrative Site Plan,pp. 205: 10. Taxation and Services,pp. 209: 11. Zoning,pp. 219: Credits",
5944,Cobbs Creek Neighborhood Conservation Plan,1977,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",HT 177 P5 C63 1977,"pp. 1: select a section,pp. 1: Cover,pp. 2: Table of Contents,pp. 3: Map: Location,pp. 4: Introduction,pp. 5: Summary Sheet,pp. 6: I. Neighborhood Description,pp. 8: Map: Land Use,pp. 9: Map: Vacancies,pp. 10: II. Current Activities,pp. 11: III. Major Planning Issues,pp. 13: IV. Planning Recommendations: Overall Policy,pp. 16: Map: Activities,pp. 17: [V.] Planning Recommendations: Specific Activities,pp. 22: Appendix A: Statistical Fact Sheet for Cobbs Creek,pp. 23: Appendix B: Institutions & Facilities within or Serving Cobbs Creek,pp. 24: Appendix C: Vacant Properties on Action Blocks,pp. 26: Map: Appendix D: Zoning Map,pp. 27: Appendix E: Tax Delinquent Vacant Properties,pp. 29: Appendix F: Previous Public Expenditures in Cobbs Creek,pp. 30: Appendix G: Description of the Planning Process,pp. 31: Appendix H: Major Comments on the Draft Plan during the General Community Meeting,pp. 33: I: Description of Cobbs Creek Commercial Revitalization Study",
5935,College Avenue Redevelopment Area Plan,1960,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",NAC 1615 P5 A311,"pp. 1: select a section,pp. 1: Cover,pp. 2: The Commission,pp. 3: Contents,pp. 4: Maps,pp. 5: Letter of Transmittal,pp. 6: Introduction,pp. 7: Boundaries,pp. 8: Map: Boundaries,pp. 9: Existing Land Use,pp. 10: Map: Existing Land Use,pp. 11: Existing Zoning,pp. 12: Map: Existing Zoning,pp. 13: Proposed Land Use,pp. 14: Map: Proposed Land Use,pp. 15: Chart: Distribution of Land Uses,pp. 16: Proposed Zoning,pp. 17: Map: Proposed Zoning,pp. 18: Proposed Street Changes,pp. 20: Map: Proposed Street Changes,pp. 21: Proposed Standards,pp. 24: Rehousing of Displaced Families,pp. 25: Estimated Cost of Acquisition,pp. 26: Controls,pp. 27: Map: Preliminary Site Plan",
5989,"East Poplar Redevelopment Area Plan, August 1948",1948,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",NA 9127 P4 A265 1948,"pp. 1: select a section,pp. 1: Title Page,pp. 2: Letter of Transmittal,pp. 3: Contents,pp. 4: Foreword,pp. 5: Map: East Poplar Area,pp. 6: Map: Existing Land Use,pp. 7: I. Boundaries and Existing Land Use,pp. 8: II. Proposed Land Uses Following Redevelopment,pp. 9: Map: Proposed Land Use,pp. 10: III. Proposed Standards of Population Densities, Land Coverage and Building Intensities,pp. 10: Table: Sizes of Households in East Poplar 1948,pp. 11: Table: Recommended Standards for Redevelopment Areas,pp. 12: Map: Preliminary Site Plan,pp. 13: IV. Preliminary Site Plan,pp. 15: Map: Proposed Zoning changes,pp. 16: V. Proposed Zoning Changes,pp. 18: Map: Proposed Street Layout,pp. 19: VI. Proposed Changes in Street Layout,pp. 20: VIII. Proposed Changes in Transit Lines,pp. 21: Map: Proposed Transit Lines,pp. 22: VIII. Rehousing of Displaced Persons,pp. 23: IX. Estimated Cost of Acquisition,pp. 24: Map: 1947 Assessed Valuation,pp. 25: Map: Redevelopment Areas,pp. 26: Table: Assessed Valuation and Acquisition Cost,pp. 27: X. Proposed Controls,pp. 31: Conclusions and Recommendations for Immediate Action,pp. 32: Map: Proposed Project Programming,pp. 34: Appendix A",
5920,East/West Mt. Airy Neighborhood Conservation Plan,1977,Philadelphia City Planning Commission,,,,HT 177 P5 P5295 1977,"pp. 1: select a section,pp. 1: Original Cover,pp. 2: Table of Contents,pp. 3: Introduction,pp. 4: Summary Sheet,pp. 5: Summary Sheet,pp. 6: Map: Location Map,pp. 7: I. Neighborhood Description,pp. 9: Map:  Major Features,pp. 10: Map: Land Use,pp. 13: III. Major Planning Issues,pp. 17: IV. Planning Recommendations: Overall Policy,pp. 19: Map: Activities,pp. 25: appendix A: Summary Fact Sheet,pp. 26: Appendix B: Zoning Map,pp. 27: Appendix C: Vacant Houses on Activity Blocks,pp. 29: Appendix D: Vacant Houses on Blocks for Special Study,pp. 30: appendix E: Map - Vacancies,pp. 31: Appendix F: Major Comments and PCPC Staff Response,pp. 33: Appendix G: Human Services in Conservation Areas,pp. 34: appendix H: Description  of the Commercial Revitalization Study",
5921,Eastern North Philadelphia Plan and Draft,1978,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",HT 177 P5 P5297 1978,"pp. 1: select a section,pp. 1: Original Cover,pp. 2: Title Page,pp. 4: Table of Contents,pp. 5: Maps and Tables,pp. 7: Map: Special Development District,pp. 8: Introduction,pp. 10: II. Why the Area Was Chosen,pp. 11: Map: ENP Neighborhoods,pp. 14: Map: Major Features,pp. 20: III. How the Plan Was Prepared,pp. 23: IV. Project Area Descripton,pp. 25: Statistical Summary,pp. 30: Map: Geographic Area Definitions,pp. 32: Map: Exisitng Land Use,pp. 40: V. Major Planning Issues and Recommendations,pp. 42: Map: Housing Issues,pp. 68: Map: American Street Corridor,pp. 76: Map: Commercial Areas,pp. 85: VI. Summary of the Plan,pp. 90: VII. Implementation Strategies,pp. 91: Map: Housing - Recommended Activity Areas,pp. 102: Map: Eastern North Philadelphia,pp. 108: Map: West Poplar,pp. 109: Map: East Poplar,pp. 116: Map: East Poplar,pp. 117: Map: Girard-Poplar/Northern Liberties,pp. 125: Map: Northern Liberties,pp. 126: Map: Girard / Poplar,pp. 127: Map: Olde Kensington / Kensington South,pp. 134: Map: Olde Kensington / Kensington South,pp. 135: Map: Ludlow,pp. 142: Map: Ludlow,pp. 143: Map: West Kensington,pp. 149: Map: West Kensington,pp. 150: Map: West Kensington,pp. 151: Map: Kensington 31st Ward,pp. 157: Map: Kensington 31st Ward,pp. 158: Map: Yorktown,pp. 165: Map: Yorktown,pp. 166: VIII. Environmental Assessment,pp. 205: Map: Noise Impacted Streets,pp. 227: Appendix A",
2606,Eastwick Redevelopment Area Plan,1954,Philadelphia City Planning Commission,,Southwest Philadelphia,"Eastwick,Elmwood",HT 177 P5 P5298 1954,"pp. 1: select a section,pp. 5: Map: Existing Land Use,pp. 6: Section 1: Boundaries and Exisiting Land Use,pp. 7: Map: Proposed Land Use,pp. 8: Section 2: Proposed Land Use,pp. 9: Map: Preliminary Site Plan,pp. 10: Section 3: Standards of Land Coverage, Population Densities and Building Intensities,pp. 10: Section 4: A Statement of Any Proposed Changes in Street Layout and Street Level,pp. 11: Map: Exisiting Zoning,pp. 12: Section 5: A Statement of Proposed Changes in Zoning,pp. 12: Section 6: Relocation,pp. 13: Map: Assessments,pp. 14: Section 7: Estimated Cost of Acquisition and Other Costs Necessary to Prepare the Area for Redevelopment,pp. 14: Section 8: A Statement of Continuing Controls As May be Deemed Necessary to Effectuate the Purpose of the Redevelopment Act",
7720,Eastwick Redevelopment Area. Plates. (24 maps),1953,Philadelphia City Planning Commission,,Southwest Philadelphia,"Eastwick,Elmwood",711.0974 P534C Atlas,"pp. 1: select a section,pp. 1: Cover,pp. 2: Map 1: Site Plan,pp. 3: Map 2,pp. 4: Map 3: Existing Land Use,pp. 5: Map 4,pp. 6: Map 5,pp. 7: Map 6: 1952 Assessments,pp. 8: Map 7: Existing Zoning,pp. 9: Map 8: Existing & Mapped Streets to be Removed,pp. 10: Map 9,pp. 11: Map 10: Proposed Trolley & Express Bus Routes,pp. 12: Map 11,pp. 13: Map 12,pp. 14: Map 13: Proposed Street Layout,pp. 15: Map 14,pp. 16: Map 15,pp. 17: Map 16,pp. 18: Map 17,pp. 19: Map 18-19,pp. 20: Map 20,pp. 21: Map 21,pp. 22: Map 22,pp. 23: Map 23,pp. 24: Map 24: Proposed Zoning",
4784,Eastwick. Portion of Upper Eastwick,1950,Philadelphia City Planning Commission,,Southwest Philadelphia,"Eastwick,Elmwood",NA 9127 P4 A287 1950,"pp. 1: select a section,pp. 1: Title Page,pp. 2: Letter of Transmittal,pp. 3: Contents,pp. 4: Map: Redevelopment Areas,pp. 5: Map: Existing Land Use,pp. 6: I. Boundaries and Existing Land Uses,pp. 7: Map: Proposed Land Use,pp. 8: II. Proposed Land Uses Following Redevelopment,pp. 9: Table: Recommended Maximum Standards,pp. 9: III. Proposed Standards: Population, Land and Building,pp. 10: Map: Preliminary Site Plan,pp. 11: IV. Preliminary Site Plan,pp. 12: Map: Proposed Street Layout,pp. 13: V. Proposed Zoning Changes,pp. 13: VI. Proposed Changes in Street Layout,pp. 14: VII. Proposed Changes in Transit Lines,pp. 14: VIII. Rehousing of Displaced Persons,pp. 15: Map: Assessed Valuation,pp. 16: IX. Estimated Cost of Acquisition,pp. 17: Table: Assessed Valuation and Acquisition Cost,pp. 18: X. Proposed Controls",
6341,Erie Avenue Industrial District Redevelopment Area Plan,1979,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",NA 9127 P52 A43,"pp. 1: select a section,pp. 1: Title Page,pp. 3: Letter of Transmittal,pp. 4: Map: Existing Land Use,pp. 5: Certification,pp. 6: Photos: Blighted Areas,pp. 7: Explanatory Notes,pp. 8: Existing Land Use & Boundaries,pp. 9: Map: Proposed Land Use,pp. 10: Map: Preliminary Site Plan,pp. 11: Proposed Land Use,pp. 11: Preliminary Site Plan,pp. 11: Proposed Street Changes,pp. 11: Proposed Zoning Changes,pp. 11: Cost of Acquisition,pp. 12: Relocation of Firms,pp. 12: Proposed Standards and Controls",
4091,Franklin Plan,1965,Philadelphia City Planning Commission,,North Philadelphia,"Allegheny West,Brewerytown,Fairhill,Fairmount,Hartranft,Hunting Park,Juniata Park,Logan,North Central,Northern Liberties,Olde Kensington,Poplar,Strawberry Mansion,Swamp Poodle,Tioga,Yorktown",HT 177 P47 P53 1965,"pp. 1: select a section,pp. 1: Front cover--recto,pp. 2: Title page,pp. 3: Philadelphia City Planning Commission,pp. 4: Area Plan,pp. 5: Objectives,pp. 6: Existing Land Use,pp. 7: Map: Existing Land Use,pp. 8: Proposed Land Use,pp. 9: Map: Proposed Land Use,pp. 10: Zoning,pp. 10: Street Changes,pp. 11: Number of Displaced Families,pp. 11: Cost of Acquisition,pp. 12: Map: Existing Zones,pp. 13: Map: Proposed Zoning,pp. 14: Map: Proposed Street Changes,pp. 15: Map: Preliminary Site Plan",
